t,X2,X2_dot,X2_ddot,theta3,theta3_dot,theta3_ddot,theta4,theta4_dot,theta4_ddot
0.0,0.15,0.0,7.411697951773366,5.235987755982989,0.0,-18.483875229115597,5.759586531581287,0.0,-5.993203573233263
0.003,0.15003334760803394,0.022228383900056475,7.404987628695881,5.235904590519528,-0.05543565974406464,-18.467908711403833,5.759559551406825,-0.01799395434587461,-6.007546549248946
0.006,0.15013333003358176,0.044416497703457104,7.384848504565889,5.235655237834928,-0.11077550925679999,-18.419997990451137,5.7594784818156395,-0.036073943505966585,-6.050552692758952
0.009000000000000001,0.15029976600932748,0.06652402227203623,7.351256296154614,5.235240129145311,-0.16592367085550816,-18.34010992369216,5.759342935803873,-0.054325866674286384,-6.122153390964389
0.012,0.15053235317093866,0.0885105431046817,7.304171140651214,5.234659983492038,-0.22078413820213572,-18.228190484202603,5.759152269048999,-0.0728353448871682,-6.22223342649998
0.015,0.15083066771259818,0.11033550226910116,7.243538501991448,5.2339158082014965,-0.2752607102968869,-18.08416655877392,5.7589055809602705,-0.09168758453428058,-6.350629710014679
0.018000000000000002,0.15119416389184356,0.13195815893482638,7.169290448281063,5.233008899554959,-0.3292569434945022,-17.90794847604065,5.758601716114654,-0.11096722868866188,-6.507129535062483
0.021,0.15162217341360734,0.15333755042378935,7.081347293681148,5.231940843591857,-0.3826761048480579,-17.699433246514662,5.758239266238416,-0.13075820220773435,-6.6914683975600235
0.024,0.152113904720577,0.17443245826849968,6.979619602294074,5.2307135170463,-0.43542113334292704,-17.458508503635972,5.757816572482257,-0.15114356123695066,-6.903327423959926
0.027,0.15266844220098186,0.1952013869818136,6.864010559432285,5.229329088297502,-0.4873946295159193,-17.185057142256863,5.757331728445879,-0.17220531273913928,-7.142330480645365
0.03,0.1532847452772691,0.21560253889786793,6.734418711913833,5.227790018547311,-0.5384988329351174,-16.878962663988677,5.7567825833739255,-0.1940242535455844,-7.408040975016083
0.033,0.15396164757503433,0.2355938134233432,6.590741048896945,5.226099062657365,-0.5886356521002392,-16.540115136973466,5.756166746304992,-0.21667976797090066,-7.699958536755529
0.036000000000000004,0.1546978558811555,0.25513279820069473,6.432876472432224,5.2242592704155015,-0.6377066736253056,-16.168417895344625,5.755481590353199,-0.240249646193255,-8.017515483687902
0.039,0.15549194938846914,0.2741767896184892,6.260729562355127,5.222273987053838,-0.68561323265065,-15.763794732162221,5.754724258028918,-0.2648098643658857,-8.360073405422483
0.042,0.156342378657646,0.2926828072962966,6.074214742991353,5.220146854330077,-0.7322564673048401,-15.326197844292045,5.753891666809419,-0.29043437732029515,-8.726919667320587
0.045,0.15724746506229512,0.3106076382638114,5.873260686064549,5.217881810496627,-0.7775374335054361,-14.855616131834923,5.752980515702237,-0.31719488332788826,-9.117264281789833
0.048,0.15820539990544413,0.32790787911283226,5.657815110819966,5.215483090913644,-0.8213572121086596,-14.352084229968765,5.751987292221445,-0.3451605937412532,-9.530236867384858
0.051000000000000004,0.15921424424157213,0.34454000831474024,5.42784973899896,5.212955227117118,-0.8636170764660477,-13.815691713959477,5.7509082803861915,-0.3743979818959351,-9.964884251125744
0.054,0.1602719282747653,0.3604604575050397,5.183365635994274,5.210303046760165,-0.9042186533882633,-13.246593017091728,5.749739569048845,-0.40497053908562614,-10.420168302957537
0.057,0.1613762518143838,0.3756257181644451,4.924398574902717,5.207531671248991,-0.9430641553672069,-12.645017236317885,5.7484770616667475,-0.43693850650251886,-10.894964759491387
0.06,0.1625248840334467,0.3899924404162887,4.651024793496267,5.204646514937577,-0.9800565902790813,-12.011278694939627,5.747116485712999,-0.470358632041222,-11.388062315596116
0.063,0.1637153648906906,0.4035175813207752,4.363366558621384,5.20165328063829,-1.0151000719553078,-11.34578692858797,5.745653404677056,-0.5052838858650731,-11.898163173364198
0.066,0.1649451053132,0.41615852761531086,4.061598166835746,5.19855795803272,-1.0481000702723695,-10.649057585469535,5.744083228161949,-0.5417632336218665,-12.423883714101562
0.069,0.16621138987695447,0.4278732905418262,3.745951455619694,5.19536681647836,-1.07896380836517,-9.921722112568395,5.742401226431739,-0.5798413433718216,-12.96375719220809
0.07200000000000001,0.16751137764787416,0.43862065116717336,3.4167217808690937,5.192086402202072,-1.1076005505478008,-9.16453851451644,5.740602541030489,-0.6195583846923826,-13.516236301331158
0.075,0.1688421061338696,0.4483603997277289,3.07427323573928,5.188723528484147,-1.1339220795654459,-8.378400338473138,5.73868220163831,-0.6609497471579455,-14.079698186790651
0.078,0.17020049342754873,0.45705350841826875,2.7190441814319866,5.185285270254301,-1.1578430338869556,-7.564346499609045,5.736635137728599,-0.704045863905376,-14.652449286169377
0.081,0.17158334283959825,0.46466239680301163,2.3515520383815898,5.1817789531289185,-1.179281425612244,-6.723569451405479,5.734456196127483,-0.7488719788634468,-15.23273236098304
0.084,0.17298734774260202,0.4711511580933587,1.9723977108409132,5.178212142301206,-1.198159080343401,-5.857422771080882,5.732140156021968,-0.7954479769983925,-15.818734230103628
0.08700000000000001,0.17440909559350065,0.476485805619854,1.582269956229392,5.174592633451435,-1.2144021072446147,-4.967428785862231,5.729681743766627,-0.8437882436802658,-16.408593917623765
0.09,0.1758450766879624,0.4806345820504889,1.1819480633620163,5.170928433338787,-1.2279414975554714,-4.055282668399787,5.727075653489611,-0.8939015026178314,-17.000413637168425
0.093,0.17729168797662037,0.4835681716088357,0.7723053498615081,5.167227751640542,-1.2387135229308122,-3.1228587765425453,5.724316558809534,-0.9457907583144771,-17.59226776087411
