t,X2,X2_dot,X2_ddot,theta3,theta3_dot,theta3_ddot,theta4,theta4_dot,theta4_ddot
0.0,0.15,0.0,7.411697951773368,5.235987755982989,0.0,-18.483875229115604,5.759586531581287,0.0,-5.993203573233262
0.003,0.15003334760730638,0.022228383989452927,7.404987628881178,5.2359045905209864,-0.05543565993961905,-18.46790871179436,5.759559551406021,-0.01799395420480569,-6.00754654898337
0.006,0.1501333300331587,0.044416497719810495,7.384848504669851,5.23565523783548,-0.11077550932558092,-18.419997990663312,5.759478481816608,-0.03607394330376029,-6.050552692637084
0.009000000000000001,0.1502997660103061,0.06652402237125307,7.351256295942372,5.235240129143249,-0.16592367105354544,-18.340109923208214,5.759342935804779,-0.05432586663054352,-6.122153391379831
0.012,0.15053235317037106,0.08851054330176676,7.304171140853327,5.234659983491708,-0.2207841387139805,-18.22819048453124,5.759152269054634,-0.0728353441390919,-6.222233426553543
0.015,0.15083066771584394,0.11033550206542829,7.243538501109583,5.233915808195888,-0.27526070980210965,-18.084166556986457,5.758905580959514,-0.09168758516059997,-6.350629711012282
0.018000000000000002,0.15119416389469253,0.13195815948003073,7.169290447858968,5.233008899546211,-0.3292569447563832,-17.907948474782483,5.758601716128041,-0.11096722745718351,-6.5071295368971835
0.021,0.1516221734157226,0.15333754995870144,7.081347292879865,5.231940843589465,-0.38267610379430517,-17.699433245105343,5.758239266234112,-0.13075820319864281,-6.691468397747814
0.024,0.15211390473073627,0.17443245909674782,6.9796196003402935,5.23071351702115,-0.4354211351967444,-17.458508498769362,5.757816572506433,-0.15114355973043656,-6.903327429195469
0.027,0.15266844220035808,0.19520138635661932,6.864010559103032,5.229329088300778,-0.48739462815164636,-17.18505714205236,5.757331728440833,-0.17220531376217854,-7.1423304794905365
0.03,0.1532847452959495,0.21560253985420422,6.7344187080350375,5.227790018503008,-0.538498835063738,-16.878962654702324,5.756782583411913,-0.19402425189015887,-7.408040984142047
0.033,0.15396164757142802,0.2355938126871233,6.590741049113715,5.2260990626668224,-0.5886356505211575,-16.540115138135285,5.7561667462990505,-0.21667976900361208,-7.699958534143598
0.036000000000000004,0.1546978559089503,0.25513279924326415,6.432876466399686,5.224259270350435,-0.6377066759439632,-16.168417881147356,5.755481590407775,-0.24024964440101867,-8.017515497037955
0.039,0.15549194938246494,0.2741767888145903,6.260729563010111,5.222273987068378,-0.6856132309391214,-15.76379473444138,5.75472425802196,-0.26480986541009366,-8.360073401573235
0.042,0.15634237869524734,0.2926828084775172,6.074214734587142,5.220146854241372,-0.7322564699313161,-15.326197824618067,5.753891666890348,-0.2904343751903655,-8.72691968557521
0.045,0.1572474650575975,0.3106076374620977,5.873260686324584,5.217881810509335,-0.7775374317961625,-14.855616133370019,5.752980515690604,-0.31719488447391997,-9.117264278118173
0.048,0.15820539995216834,0.3279078804548687,5.65781510012865,5.215483090802276,-0.821357215060393,-14.352084204957242,5.751987292334588,-0.34516059127956744,-9.53023689056856
0.051000000000000004,0.15921424424544936,0.3445400076063539,5.427849737116466,5.212955227112498,-0.8636170749736156,-13.815691710825009,5.750908280372367,-0.3743979830594983,-9.96488425071132
0.054,0.16027192832351173,0.3604604587353223,5.183365624466454,5.210303046644351,-0.9042186560366522,-13.246592990286711,5.749739569173227,-0.4049705369549111,-10.420168327327586
0.057,0.1613762518360965,0.37562571776280335,4.924398568612673,5.207531671204265,-0.9430641545780852,-12.645017223232282,5.748477061674355,-0.4369385071692318,-10.894964767105282
0.06,0.16252488406525506,0.3899924407308546,4.651024785189497,5.204646514864443,-0.9800565909505436,-12.011278676399362,5.747116485784633,-0.4703586314970102,-11.388062330306731
0.063,0.16371536493689365,0.40351758158097456,4.363366546350509,5.201653280535253,-1.0151000725733679,-11.345786901525962,5.74565340474461,-0.5052838854628471,-11.89816319361984
0.066,0.1649451053333879,0.4161585272424172,4.061598160624946,5.198557957988329,-1.0481000695113643,-10.64905757252885,5.744083228195637,-0.5417632340251458,-12.42388372173427
0.069,0.16621138993493895,0.4278732912689409,3.745951440360461,5.195366816346844,-1.0789638098671122,-9.921722078247583,5.742401226546299,-0.579841342540694,-12.963757219583847
0.07200000000000001,0.16751137769871813,0.4386206510215612,3.4167217662888643,5.192086402089716,-1.1076005503256567,-9.164538483066698,5.740602541094721,-0.6195583847835515,-13.516236322501493
0.075,0.16884210614549025,0.4483603990408936,3.0742732312444794,5.18872352845949,-1.1339220781304675,-8.378400329776373,5.7386822016573005,-0.6609497479810714,-14.079698189767084
0.078,0.1702004935375257,0.45705350981783427,2.7190441517497668,5.185285270007434,-1.1578430367388257,-7.564346432801187,5.736635137920722,-0.704045862698405,-14.652449338487521
0.081,0.17158334284396473,0.46466239542536153,2.3515520348110357,5.181778953120664,-1.1792814228156858,-6.723569445927853,5.734456196117727,-0.7488719801013185,-15.232732358266226
0.084,0.17298734784177627,0.47115115986586303,1.972397684237766,5.1782121420835905,-1.1981590836601803,-5.857422710046127,5.732140156220909,-0.7954479767655986,-15.818734279689597
0.08700000000000001,0.17440909573184757,0.4764858056932615,1.582269915037351,5.174592633140479,-1.2144021076143061,-4.9674286964093515,5.729681743941381,-0.8437882430591718,-16.408593977710826
0.09,0.1758450765240565,0.48063457770414547,1.1819481054468177,5.1709284337023895,-1.2279414887703444,-4.055282767277491,5.727075653218311,-0.8939015054497252,-17.00041355076891
0.093,0.17729168827738842,0.4835681764507819,0.7723052662259065,5.1672277509835896,-1.2387135322788025,-3.122858585829114,5.724316559300568,-0.9457907576566803,-17.59226790947589
0.096,0.17874524373543219,0.4852600513830195,0.35431028739524706,5.163498977925964,-1.2466604069696683,-2.172211946849686,5.721399135201819,-0.9994532057770948,-18.182215548665372
0.099,0.18020198320775738,0.4856867461881523,-0.07097226718327931,5.159750665465857,-1.2517308091417394,-1.2055795972497632,5.718318075152003,-1.0548802045372707,-18.76831233705403
0.10200000000000001,0.18165807940723058,0.48482809739082244,-0.5023808586008514,5.155991512746144,-1.253880330912974,-0.22538204769403786,5.715068104680549,-1.1120572888296578,-19.348621188271334
0.105,0.18310964949909045,0.48266758187138276,-0.9386583567740736,5.152230342096618,-1.253072117937125,0.7657792326999122,5.711644000945588,-1.1709642240718774,-19.921225074748342
0.108,0.1845527702769796,0.4791926245564665,-1.3784553359793392,5.148476066919622,-1.249277460889198,1.76512813917268,5.708040615064075,-1.2315750579155826,-20.484240713751067
